name,year,radius
Kepler-1266 b,2016,2.580
Kepler-1266 c,2021,1.680
Kepler-1267 b,2016,3.010
Kepler-1268 b,2016,2.030
Kepler-1269 b,2016,1.630
Kepler-127 b,2014,1.400
Kepler-127 c,2014,2.660
Kepler-127 d,2014,2.640
Kepler-1270 b,2016,3.320
Kepler-1271 b,2016,1.480
Kepler-1272 b,2016,2.370
Kepler-1273 b,2016,2.490
Kepler-1274 b,2016,1.420
Kepler-1275 b,2016,1.480
Kepler-1276 b,2016,1.190
Kepler-1277 b,2016,1.600
Kepler-1278 b,2016,1.010
Kepler-1279 b,2016,1.750
Kepler-128 b,2013,1.421
Kepler-128 c,2013,1.521
Kepler-1280 b,2016,1.870
Kepler-1281 b,2016,1.640
Kepler-1282 b,2016,1.550
Kepler-1283 b,2016,1.910
Kepler-1284 b,2016,1.210
Kepler-1285 b,2016,0.970
Kepler-1286 b,2016,2.150
Kepler-1287 b,2016,1.540
Kepler-1288 b,2016,1.120
Kepler-1289 b,2016,1.520
Kepler-129 b,2014,2.400
Kepler-129 c,2014,2.520
Kepler-129 d,2021,12.600
Kepler-1290 b,2016,1.420
Kepler-1291 b,2016,1.660
Kepler-1292 b,2016,1.820
Kepler-1293 b,2016,0.970
Kepler-1294 b,2016,3.190
Kepler-1295 b,2016,1.550
Kepler-1296 b,2016,0.910
Kepler-1297 b,2016,0.970
Kepler-1298 b,2016,1.310
Kepler-1299 b,2016,2.980
Kepler-130 b,2014,1.020
Kepler-130 c,2014,2.900
Kepler-130 d,2014,1.640
Kepler-1300 b,2016,1.370
Kepler-1301 b,2016,1.400
Kepler-1302 b,2016,1.430
Kepler-1303 b,2016,1.420
Kepler-1304 b,2016,2.290
Kepler-1305 b,2016,1.880
Kepler-1306 b,2016,1.910
Kepler-1307 b,2016,2.470
Kepler-1308 b,2016,0.520
Kepler-1309 b,2016,2.370
Kepler-131 b,2014,2.410
Kepler-131 c,2014,0.840
Kepler-1310 b,2016,1.440
Kepler-1311 b,2016,1.240
Kepler-1311 c,2016,1.220
Kepler-1311 d,2021,9.658
Kepler-1312 b,2016,2.100
Kepler-1312 c,2021,1.027
Kepler-1313 b,2016,1.760
Kepler-1314 b,2016,5.110
Kepler-1315 b,2016,1.380
Kepler-1315 c,2021,1.844
Kepler-1316 b,2016,3.540
Kepler-1317 b,2016,1.560
Kepler-1318 b,2016,3.110
Kepler-1319 b,2016,1.340
Kepler-132 b,2014,1.210
Kepler-132 c,2014,1.280
Kepler-132 d,2014,1.550
Kepler-132 e,2016,1.180
Kepler-1320 b,2016,1.700
Kepler-1321 b,2016,4.920
Kepler-1321 c,2016,2.400
Kepler-1321 d,2021,2.628
Kepler-1322 b,2016,1.610
Kepler-1322 c,2021,2.155
Kepler-1323 b,2016,1.520
Kepler-1324 b,2016,1.510
Kepler-1325 b,2016,2.860
Kepler-1326 b,2016,4.180
Kepler-1327 b,2016,1.800
Kepler-1328 b,2016,0.980
Kepler-1329 b,2016,2.170
Kepler-133 b,2014,1.760
Kepler-133 c,2014,2.840
Kepler-1330 b,2016,1.650
Kepler-1331 b,2016,1.050
Kepler-1332 b,2016,1.370
Kepler-1333 b,2016,2.810
Kepler-1334 b,2016,2.290
Kepler-1335 b,2016,1.450
Kepler-1336 b,2016,1.980
Kepler-1336 c,2016,1.710
Kepler-1337 b,2016,2.410
Kepler-1338 b,2016,0.920
Kepler-1339 b,2016,0.710
Kepler-134 b,2014,2.000
Kepler-134 c,2014,1.260
Kepler-1340 b,2016,1.550
Kepler-1341 b,2016,2.990
Kepler-1342 b,2016,1.660
Kepler-1343 b,2016,1.930
Kepler-1344 b,2016,1.840
Kepler-1345 b,2016,2.360
Kepler-1346 b,2016,1.580
Kepler-1347 b,2016,1.030
Kepler-1348 b,2016,1.940
Kepler-1349 b,2016,0.700
Kepler-135 b,2014,1.810
Kepler-135 c,2014,1.160
Kepler-1350 b,2016,2.520
Kepler-1350 c,2016,1.730
Kepler-1351 b,2016,0.650
Kepler-1352 b,2016,0.890
Kepler-1353 b,2016,1.800
Kepler-1354 b,2016,2.970
Kepler-1355 b,2016,1.460
Kepler-1356 b,2016,1.530
Kepler-1357 b,2016,1.280
Kepler-1358 b,2016,1.120
Kepler-1359 b,2016,2.830
Kepler-136 b,2014,2.050
Kepler-136 c,2014,1.990
Kepler-1360 b,2016,3.400
Kepler-1361 b,2016,0.860
Kepler-1362 b,2016,2.600
Kepler-1363 b,2016,1.250
Kepler-1364 b,2016,2.150
Kepler-1365 b,2016,0.920
Kepler-1365 c,2016,0.800
Kepler-1366 b,2016,1.430
Kepler-1367 b,2016,0.920
Kepler-1368 b,2016,1.650
Kepler-1369 b,2016,2.690
Kepler-137 b,2014,1.470
Kepler-137 c,2014,1.880
Kepler-1370 b,2016,1.840
Kepler-1370 c,2016,1.270
Kepler-1371 b,2016,0.730
Kepler-1371 c,2016,0.640
Kepler-1372 b,2016,1.270
Kepler-1373 b,2016,1.160
Kepler-1374 b,2016,2.290
Kepler-1375 b,2016,1.740
Kepler-1376 b,2016,1.050
Kepler-1377 b,2016,1.250
Kepler-1378 b,2016,2.200
Kepler-1379 b,2016,1.300
Kepler-138 b,2014,0.640
Kepler-138 c,2014,1.510
Kepler-138 d,2014,1.510
Kepler-138 e,2022,0.797
Kepler-1380 b,2016,1.430
Kepler-1381 b,2016,2.250
Kepler-1382 b,2016,1.880
Kepler-1383 b,2016,1.410
Kepler-1384 b,2016,1.940
Kepler-1385 b,2016,0.850
Kepler-1386 b,2016,1.240
Kepler-1387 b,2016,0.930
Kepler-1388 b,2016,2.590
Kepler-1388 c,2016,2.260
Kepler-1388 d,2016,2.860
Kepler-1388 e,2016,2.460
Kepler-1389 b,2016,1.770
Kepler-139 b,2014,2.940
Kepler-139 c,2014,3.380
Kepler-139 d,2023,1.695
Kepler-139 e,2023,13.600
Kepler-1390 b,2016,1.180
Kepler-1391 b,2016,1.680
Kepler-1392 b,2016,1.960
Kepler-1393 b,2016,0.800
Kepler-1394 b,2016,1.390
Kepler-1395 b,2016,0.800
Kepler-1396 b,2016,2.070
Kepler-1397 b,2016,1.720
Kepler-1398 b,2016,0.900
Kepler-1398 c,2016,1.030
Kepler-1399 b,2016,1.250
Kepler-14 b,2011,12.733
Kepler-140 b,2014,1.610
Kepler-140 c,2014,1.800
Kepler-1400 b,2016,1.620
Kepler-1401 b,2016,1.680
Kepler-1402 b,2016,0.760
Kepler-1403 b,2016,2.140
Kepler-1404 b,2016,2.010
Kepler-1405 b,2016,3.960
Kepler-1406 b,2016,1.100
Kepler-1407 b,2016,2.250
Kepler-1408 b,2016,0.890
Kepler-1409 b,2016,1.040
Kepler-141 b,2014,0.690
Kepler-141 c,2014,1.410
Kepler-1410 b,2016,1.780
Kepler-1411 b,2016,2.820
Kepler-1412 b,2016,0.830
Kepler-1413 b,2016,1.820
Kepler-1414 b,2016,1.230
Kepler-1415 b,2016,1.290
Kepler-1416 b,2016,0.880
Kepler-1417 b,2016,1.000
Kepler-1418 b,2016,1.660
Kepler-1419 b,2016,2.860
Kepler-142 b,2014,1.990
Kepler-142 c,2014,2.860
Kepler-142 d,2014,2.160
Kepler-1420 b,2016,1.280
Kepler-1421 b,2016,0.930
Kepler-1422 b,2016,2.020
Kepler-1423 b,2016,1.060
Kepler-1424 b,2016,1.160
Kepler-1425 b,2016,0.940
Kepler-1426 b,2016,1.560
Kepler-1427 b,2016,1.100
Kepler-1428 b,2016,1.640
Kepler-1429 b,2016,1.290
Kepler-143 b,2014,2.410
Kepler-143 c,2014,3.370
Kepler-1430 b,2016,1.180
Kepler-1431 b,2016,1.470
Kepler-1432 b,2016,2.220
Kepler-1433 b,2016,1.560
Kepler-1434 b,2016,1.110
Kepler-1435 b,2016,0.860
Kepler-1436 b,2016,1.310
Kepler-1437 b,2016,1.370
Kepler-1438 b,2016,0.940
Kepler-1439 b,2016,1.460
Kepler-144 b,2014,1.330
Kepler-144 c,2014,1.350
Kepler-1440 b,2016,1.260
Kepler-1441 b,2016,1.310
Kepler-1442 b,2016,3.930
Kepler-1443 b,2016,0.970
Kepler-1444 b,2016,2.180
Kepler-1445 b,2016,0.960
Kepler-1446 b,2016,0.820
Kepler-1447 b,2016,2.900
Kepler-1448 b,2016,1.610
Kepler-1449 b,2016,1.680
Kepler-145 b,2013,2.650
Kepler-145 c,2013,4.320
Kepler-1450 b,2016,1.710
Kepler-1451 b,2016,3.350
Kepler-1452 b,2016,2.700
Kepler-1453 b,2016,2.670
Kepler-1454 b,2016,1.880
Kepler-1455 b,2016,2.160
Kepler-1456 b,2016,1.140
Kepler-1457 b,2016,1.990
Kepler-1458 b,2016,2.760
Kepler-1459 b,2016,1.360
Kepler-146 b,2014,3.710
Kepler-146 c,2014,3.130
Kepler-1460 b,2016,1.960
Kepler-1461 b,2016,2.030
Kepler-1462 b,2016,3.820
Kepler-1463 b,2016,1.860
Kepler-1464 b,2016,1.660
Kepler-1464 c,2016,1.000
Kepler-1465 b,2016,1.770
Kepler-1466 b,2016,1.550
Kepler-1467 b,2016,3.300
Kepler-1468 b,2016,1.730
Kepler-1468 c,2016,1.150
Kepler-1468 d,2021,3.332
Kepler-1469 b,2016,2.800
Kepler-147 b,2014,1.530
Kepler-147 c,2014,2.430
Kepler-1470 b,2016,1.070
Kepler-1471 b,2016,1.410
Kepler-1471 c,2023,1.880
Kepler-1472 b,2016,1.900
Kepler-1473 b,2016,1.190
Kepler-1474 b,2016,2.160
Kepler-1475 b,2016,2.920
Kepler-1476 b,2016,1.670
Kepler-1477 b,2016,1.180
Kepler-1478 b,2016,1.730
Kepler-1479 b,2016,1.830
Kepler-148 b,2014,1.800
Kepler-148 c,2014,3.600
Kepler-148 d,2016,8.680
Kepler-1480 b,2016,1.670
Kepler-1481 b,2016,1.230
Kepler-1482 b,2016,1.010
Kepler-1483 b,2016,1.520
Kepler-1484 b,2016,2.110
Kepler-1485 b,2016,1.470
Kepler-1486 b,2016,2.320
Kepler-1487 b,2016,2.130
Kepler-1487 c,2023,7.970
Kepler-1488 b,2016,1.860
Kepler-1488 c,2021,1.652
Kepler-1489 b,2016,1.770
Kepler-1489 c,2024,0.510
Kepler-149 b,2014,4.210
Kepler-149 c,2014,1.610
Kepler-149 d,2014,3.960
Kepler-1490 b,2016,3.040
Kepler-1491 b,2016,1.510
Kepler-1491 c,2023,2.440
Kepler-1492 b,2016,1.490
Kepler-1493 b,2016,1.410
Kepler-1494 b,2016,3.070
Kepler-1495 b,2016,2.940
Kepler-1496 b,2016,2.220
Kepler-1497 b,2016,1.660
Kepler-1498 b,2016,1.330
Kepler-1499 b,2016,1.190
Kepler-15 b,2011,10.760
Kepler-150 b,2014,1.250
Kepler-150 c,2014,3.690
Kepler-150 d,2014,2.790
Kepler-150 e,2014,3.120
Kepler-150 f,2017,3.640
Kepler-1500 b,2016,1.200
Kepler-1501 b,2016,1.560
Kepler-1502 b,2016,3.180
Kepler-1503 b,2016,2.270
Kepler-1504 b,2016,2.130
Kepler-1505 b,2016,0.930
Kepler-1506 b,2016,1.320
Kepler-1507 b,2016,0.840
Kepler-1508 b,2016,1.330
Kepler-1509 b,2016,1.850
Kepler-151 b,2014,3.060
Kepler-151 c,2014,2.090
Kepler-1510 b,2016,3.360
Kepler-1511 b,2016,1.680
Kepler-1512 b,2016,1.180
Kepler-1513 b,2016,8.594
Kepler-1513 c,2023,11.000
Kepler-1514 b,2016,12.420
Kepler-1514 c,2020,1.176
Kepler-1515 b,2016,9.550
Kepler-1516 b,2016,1.750
Kepler-1517 b,2016,9.760
Kepler-1518 b,2016,3.050
Kepler-1518 c,2023,2.900
Kepler-1519 b,2016,7.060
Kepler-152 b,2014,2.790
Kepler-152 c,2014,2.390
Kepler-1520 b,2016,5.770
Kepler-1521 b,2016,2.500
Kepler-1522 b,2016,1.730
Kepler-1523 b,2016,1.580
Kepler-1524 b,2016,3.540
Kepler-1525 b,2016,0.910
Kepler-1526 b,2016,2.430
Kepler-1527 b,2016,4.770
Kepler-1528 b,2016,1.460
Kepler-1529 b,2016,2.100
Kepler-153 b,2014,2.920
Kepler-153 c,2014,2.530
Kepler-1530 b,2016,1.640
Kepler-1530 c,2016,1.650
Kepler-1530 d,2021,3.279
Kepler-1531 b,2016,1.110
Kepler-1532 b,2016,1.350
Kepler-1533 b,2016,3.460
Kepler-1534 b,2016,1.890
Kepler-1535 b,2016,2.550
Kepler-1536 b,2016,3.140
Kepler-1537 b,2016,1.180
Kepler-1538 b,2016,2.820
Kepler-1539 b,2016,2.700
Kepler-154 b,2014,2.260
Kepler-154 c,2014,2.950
Kepler-154 d,2016,3.840
Kepler-154 e,2016,1.500
Kepler-154 f,2016,1.500
Kepler-1540 b,2016,2.490
Kepler-1541 b,2016,1.160
Kepler-1542 b,2016,0.760
Kepler-1542 c,2016,0.650
Kepler-1542 d,2016,0.870
Kepler-1542 e,2016,0.760
Kepler-1543 b,2016,2.710
Kepler-1544 b,2016,1.780
Kepler-1545 b,2016,2.700
Kepler-1546 b,2016,3.130
Kepler-1547 b,2016,0.900
Kepler-1548 b,2016,2.640
Kepler-1549 b,2016,2.570
Kepler-155 b,2014,2.090
Kepler-155 c,2014,2.240
Kepler-1550 b,2016,3.020
Kepler-1551 b,2016,2.660
Kepler-1552 b,2016,2.470
Kepler-1553 b,2016,1.150
Kepler-1554 b,2016,2.900
Kepler-1555 b,2016,1.610
Kepler-1556 b,2016,1.960
Kepler-1557 b,2016,1.530
Kepler-1558 b,2016,0.680
Kepler-1559 b,2016,0.720
Kepler-156 b,2014,2.300
Kepler-156 c,2014,2.550
Kepler-1560 b,2016,0.890
Kepler-1561 b,2016,1.090
Kepler-1562 b,2016,3.550
Kepler-1563 b,2016,0.750
Kepler-1564 b,2016,1.470
Kepler-1565 b,2016,1.190
Kepler-1566 b,2016,0.790
Kepler-1567 b,2016,2.730
Kepler-1568 b,2016,1.300
Kepler-1569 b,2016,1.680
Kepler-157 b,2014,1.320
Kepler-157 c,2014,2.240
Kepler-157 d,2016,1.460
Kepler-1570 b,2016,1.070
Kepler-1571 b,2016,1.520
Kepler-1572 b,2016,0.940
Kepler-1573 b,2016,1.200
Kepler-1574 b,2016,1.290
Kepler-1575 b,2016,1.310
Kepler-1576 b,2016,1.040
Kepler-1577 b,2016,1.130
Kepler-1578 b,2016,1.040
Kepler-1579 b,2016,0.840
Kepler-158 b,2014,2.120
Kepler-158 c,2014,1.900
Kepler-158 d,2024,0.430
Kepler-1580 b,2016,2.110
Kepler-1581 b,2016,0.800
Kepler-1582 b,2016,1.490
Kepler-1583 b,2016,0.600
Kepler-1584 b,2016,1.610
Kepler-1585 b,2016,1.790
Kepler-1586 b,2016,1.520
Kepler-1587 b,2016,1.330
Kepler-1588 b,2016,0.760
Kepler-1589 b,2016,1.090
Kepler-159 b,2014,2.380
Kepler-159 c,2014,3.410
Kepler-1590 b,2016,1.140
Kepler-1591 b,2016,1.270
Kepler-1592 b,2016,1.540
Kepler-1593 b,2016,3.170
Kepler-1594 b,2016,1.060
Kepler-1595 b,2016,1.230
Kepler-1596 b,2016,1.900
Kepler-1597 b,2016,1.060
Kepler-1598 b,2016,0.950
Kepler-1599 b,2016,1.620
Kepler-16 b,2011,8.449
Kepler-160 b,2014,1.715
Kepler-160 c,2014,3.760
Kepler-160 d,2020,
Kepler-1600 b,2016,3.130
Kepler-1600 c,2021,1.942
Kepler-1601 b,2016,0.820
Kepler-1602 b,2016,1.340
Kepler-1603 b,2016,1.290
Kepler-1604 b,2016,1.410
Kepler-1605 b,2016,1.080
Kepler-1606 b,2016,2.070
Kepler-1607 b,2016,0.920
Kepler-1608 b,2016,1.730
Kepler-1609 b,2016,2.220
Kepler-161 b,2014,2.120
Kepler-161 c,2014,2.050
Kepler-1610 b,2016,1.610
Kepler-1610 c,2023,2.090
Kepler-1611 b,2016,0.810
Kepler-1612 b,2016,1.030
Kepler-1613 b,2016,2.080
Kepler-1614 b,2016,1.490
Kepler-1615 b,2016,2.060
Kepler-1616 b,2016,1.020
Kepler-1617 b,2016,1.200
Kepler-1618 b,2016,1.260
Kepler-1619 b,2016,0.760
Kepler-162 b,2014,1.260
Kepler-162 c,2014,3.030
Kepler-1620 b,2016,1.610
Kepler-1621 b,2016,2.160
Kepler-1622 b,2016,1.470
Kepler-1623 b,2016,1.310
Kepler-1624 b,2016,5.700
Kepler-1625 b,2016,6.060
Kepler-1626 b,2016,2.020
Kepler-1627 b,2016,3.690
Kepler-1628 b,2016,6.430
Kepler-1629 b,2016,0.770
Kepler-163 b,2014,1.050
Kepler-163 c,2014,2.260
Kepler-1630 b,2016,2.190
Kepler-1631 b,2016,1.350
Kepler-1632 b,2016,2.470
Kepler-1633 b,2016,1.580
Kepler-1634 b,2016,3.190
Kepler-1635 b,2016,3.640
Kepler-1636 b,2016,3.230
Kepler-1637 b,2016,0.890
Kepler-1638 b,2016,1.870
Kepler-1639 b,2016,2.580
Kepler-164 b,2014,1.410
Kepler-164 c,2014,2.730
Kepler-164 d,2014,2.450
Kepler-164 e,2023,4.240
Kepler-1640 b,2016,4.820
Kepler-1641 b,2016,3.110
Kepler-1641 c,2016,2.950
Kepler-1642 b,2016,3.200
Kepler-1642 c,2016,2.660
Kepler-1643 b,2016,2.320
Kepler-1644 b,2016,1.880
Kepler-1645 b,2016,1.780
Kepler-1646 b,2016,1.230
Kepler-1647 b,2016,11.874
Kepler-1649 b,2017,1.017
Kepler-1649 c,2020,1.060
Kepler-165 b,2014,2.320
Kepler-165 c,2014,2.230
Kepler-1650 b,2017,0.960
Kepler-1651 b,2017,1.840
Kepler-1652 b,2017,1.600
Kepler-1653 b,2017,2.170
Kepler-1654 b,2018,9.180
Kepler-1655 b,2018,2.213
Kepler-1656 b,2018,4.574
Kepler-1656 c,2022,14.000
Kepler-1658 b,2019,11.994
Kepler-166 b,2014,2.270
Kepler-166 c,2014,2.380
Kepler-166 d,2016,1.730
Kepler-1660 AB b,2023,12.900
Kepler-1661 b,2020,3.870
Kepler-1663 b,2020,3.304
Kepler-1664 b,2020,3.033
Kepler-1665 b,2020,2.839
Kepler-1666 b,2020,2.883
Kepler-1666 c,2020,3.236
Kepler-1667 b,2020,2.984
Kepler-1668 b,2020,4.348
Kepler-1669 b,2020,2.780
Kepler-1669 c,2021,1.901
Kepler-1669 d,2023,1.220
Kepler-167 b,2014,1.718
Kepler-167 c,2014,1.674
Kepler-167 d,2016,1.238
Kepler-167 e,2016,10.160
Kepler-1670 b,2020,3.356
Kepler-1671 b,2020,1.326
Kepler-1672 b,2020,2.970
Kepler-1673 b,2020,2.936
Kepler-1674 b,2020,3.206
Kepler-1675 b,2020,3.125
Kepler-1676 b,2020,3.377
Kepler-1677 b,2020,2.702
Kepler-1678 b,2020,3.304
Kepler-1679 b,2020,2.069
Kepler-168 b,2014,1.460
Kepler-168 c,2014,2.690
Kepler-1680 b,2020,1.360
Kepler-1681 b,2020,2.553
Kepler-1682 b,2020,2.889
Kepler-1683 b,2020,1.875
Kepler-1684 b,2020,2.871
Kepler-1685 b,2020,2.577
Kepler-1686 b,2020,1.426
Kepler-1687 b,2020,1.656
Kepler-1688 b,2020,1.262
Kepler-1689 b,2020,0.947
Kepler-169 b,2014,1.130
Kepler-169 c,2014,1.210
Kepler-169 d,2014,1.250
Kepler-169 e,2014,2.200
Kepler-169 f,2014,2.580
Kepler-1690 b,2020,2.811
Kepler-1691 b,2020,1.835
Kepler-1692 b,2020,1.112
Kepler-1693 b,2020,1.289
Kepler-1693 c,2021,0.977
Kepler-1694 b,2020,1.180
Kepler-1695 b,2020,1.119
Kepler-1696 b,2020,2.810
Kepler-1697 b,2020,1.260
Kepler-1698 b,2020,1.073
Kepler-1699 b,2020,1.567
Kepler-17 b,2011,14.680
Kepler-170 b,2014,3.200
Kepler-170 c,2014,2.860
Kepler-1700 b,2020,2.901
Kepler-1701 b,2020,2.222
Kepler-1702 b,2020,1.602
Kepler-1704 b,2013,11.949
Kepler-1705 b,2014,2.030
Kepler-1705 c,2021,2.050
Kepler-1708 b,2021,9.960
Kepler-1709 b,2021,3.124
Kepler-171 b,2014,2.340
Kepler-171 c,2014,2.560
Kepler-171 d,2014,1.890
Kepler-1710 b,2021,3.197
Kepler-1711 b,2021,1.923
Kepler-1712 b,2021,2.284
Kepler-1713 b,2021,1.717
Kepler-1714 b,2021,3.264
Kepler-1715 b,2021,4.140
Kepler-1716 b,2021,2.425
Kepler-1717 b,2021,2.989
Kepler-1718 b,2021,2.569
Kepler-1719 b,2021,3.950
Kepler-172 b,2014,2.350
Kepler-172 c,2014,2.860
Kepler-172 d,2014,2.250
Kepler-172 e,2014,2.760
Kepler-1720 b,2021,3.216
Kepler-1721 b,2021,3.119
Kepler-1722 b,2021,2.867
Kepler-1723 b,2021,2.880
Kepler-1724 b,2021,2.837
Kepler-1725 b,2021,2.813
Kepler-1726 b,2021,2.509
Kepler-1727 b,2021,3.173
Kepler-1728 b,2021,2.955
Kepler-1729 b,2021,3.894
Kepler-173 b,2014,1.290
Kepler-173 c,2014,2.430
Kepler-1730 b,2021,4.485
Kepler-1731 b,2021,2.933
Kepler-1732 b,2021,4.099
Kepler-1733 b,2021,3.636
Kepler-1734 b,2021,3.089
Kepler-1735 b,2021,1.194
Kepler-1736 b,2021,3.877
Kepler-1737 b,2021,5.395
Kepler-1738 b,2021,2.825
Kepler-1739 b,2021,2.431
Kepler-174 b,2014,1.960
Kepler-174 c,2014,1.490
Kepler-174 d,2014,2.190
Kepler-1740 b,2021,3.323
Kepler-1741 b,2021,1.273
Kepler-1742 b,2021,2.178
Kepler-1743 b,2021,1.599
Kepler-1744 b,2021,3.768
Kepler-1745 b,2021,1.929
Kepler-1746 b,2021,8.935
Kepler-1747 b,2021,4.265
Kepler-1748 b,2021,2.713
Kepler-1749 b,2021,1.613
Kepler-175 b,2014,2.560
Kepler-175 c,2014,3.100
Kepler-1750 b,2021,6.004
Kepler-1751 b,2021,1.824
Kepler-1752 b,2021,4.541
Kepler-1753 b,2021,2.227
Kepler-1754 b,2021,2.440
Kepler-1755 b,2021,5.917
Kepler-1756 b,2021,1.472
Kepler-1757 b,2021,2.947
Kepler-1758 b,2021,2.571
Kepler-1759 b,2021,0.904
Kepler-176 b,2014,1.430
Kepler-176 c,2014,2.600
Kepler-176 d,2014,2.510
Kepler-176 e,2016,1.450
Kepler-1760 b,2021,2.290
Kepler-1761 b,2021,1.391
Kepler-1762 b,2021,2.760
Kepler-1763 b,2021,1.147
Kepler-1764 b,2021,4.555
Kepler-1765 b,2021,2.495
Kepler-1766 b,2021,2.279
Kepler-1767 b,2021,3.013
Kepler-1768 b,2021,2.233
Kepler-1769 b,2021,4.465
Kepler-177 b,2013,3.500
Kepler-177 c,2013,8.730
Kepler-1770 b,2021,2.841
Kepler-1771 b,2021,4.055
Kepler-1772 b,2021,2.686
Kepler-1773 b,2021,3.505
Kepler-1774 b,2021,3.182
Kepler-1775 b,2021,3.648
Kepler-1776 b,2021,2.612
Kepler-1777 b,2021,2.132
Kepler-1778 b,2021,3.017
Kepler-1779 b,2021,3.033
Kepler-178 b,2014,2.900
Kepler-178 c,2014,2.880
Kepler-178 d,2014,3.950
Kepler-1780 b,2021,3.606
Kepler-1781 b,2021,2.381
Kepler-1782 b,2021,2.229
Kepler-1783 b,2021,1.319
Kepler-1784 b,2021,2.799
Kepler-1785 b,2021,2.704
Kepler-1786 b,2021,3.163
Kepler-1787 b,2021,2.319
Kepler-1788 b,2021,2.379
Kepler-1789 b,2021,2.831
Kepler-179 b,2014,1.640
Kepler-179 c,2014,2.000
Kepler-1790 b,2021,3.145
Kepler-1791 b,2021,3.121
Kepler-1792 b,2021,2.520
Kepler-1793 b,2021,3.790
Kepler-1794 b,2021,1.794
Kepler-1795 b,2021,1.663
Kepler-1796 b,2021,2.750
Kepler-1797 b,2021,3.058
Kepler-1798 b,2021,2.309
Kepler-1799 b,2021,4.128
Kepler-18 b,2011,2.000
Kepler-18 c,2011,5.490
Kepler-18 d,2011,6.980
Kepler-180 b,2014,1.500
Kepler-180 c,2014,3.010
Kepler-1800 b,2021,0.997
Kepler-1801 b,2021,2.709
Kepler-1801 c,2023,2.910
Kepler-1802 b,2021,1.671
Kepler-1802 c,2021,2.322
Kepler-1804 b,2021,1.596
Kepler-1805 b,2021,1.545
Kepler-1806 b,2021,2.356
Kepler-1807 b,2021,2.704
Kepler-1808 b,2021,3.025
Kepler-1809 b,2021,1.513
Kepler-181 b,2014,1.270
Kepler-181 c,2014,1.990
Kepler-1810 b,2021,3.918
Kepler-1811 b,2021,3.848
Kepler-1812 b,2021,2.325
Kepler-1813 b,2021,1.413
Kepler-1814 b,2021,2.370
Kepler-1814 c,2023,1.760
Kepler-1815 b,2021,2.749
Kepler-1816 b,2021,1.968
Kepler-1817 b,2021,2.273
Kepler-1818 b,2021,1.714
Kepler-1819 b,2021,3.904
Kepler-182 b,2014,2.580
Kepler-182 c,2014,3.430
Kepler-1820 b,2021,3.119
Kepler-1821 b,2021,2.592
Kepler-1822 b,2021,2.648
Kepler-1823 b,2021,2.086
Kepler-1824 b,2021,2.381
Kepler-1825 b,2021,1.422
Kepler-1826 b,2021,1.475
Kepler-1827 b,2021,1.856
Kepler-1828 b,2021,2.116
Kepler-1829 b,2021,2.479
Kepler-183 b,2014,2.060
Kepler-183 c,2014,2.270
Kepler-1830 b,2021,3.330
Kepler-1831 b,2021,1.970
Kepler-1832 b,2021,1.227
Kepler-1833 b,2021,1.300
Kepler-1834 b,2021,1.459
Kepler-1834 c,2023,1.220
Kepler-1835 b,2021,3.534
Kepler-1836 b,2021,2.553
Kepler-1837 b,2021,2.067
Kepler-1838 b,2021,1.660
Kepler-1839 b,2021,1.949
Kepler-184 b,2014,2.360
Kepler-184 c,2014,1.970
Kepler-184 d,2014,2.490
Kepler-1840 b,2021,2.778
Kepler-1841 b,2021,1.489
Kepler-1842 b,2021,2.354
Kepler-1843 b,2021,2.709
Kepler-1844 b,2021,3.036
Kepler-1845 b,2021,2.438
Kepler-1846 b,2021,1.764
Kepler-1847 b,2021,2.745
Kepler-1848 b,2021,1.409
Kepler-1849 b,2021,2.387
Kepler-185 b,2014,1.170
Kepler-185 c,2014,2.020
Kepler-1850 b,2021,0.729
Kepler-1851 b,2021,3.900
Kepler-1852 b,2021,1.886
Kepler-1853 b,2021,1.519
Kepler-1854 b,2021,2.587
Kepler-1855 b,2021,1.216
Kepler-1856 b,2021,1.734
Kepler-1857 b,2021,1.961
Kepler-1858 b,2021,2.422
Kepler-1859 b,2021,1.583
Kepler-1859 c,2023,1.660
Kepler-186 b,2014,1.070
Kepler-186 c,2014,1.250
Kepler-186 d,2014,1.400
Kepler-186 e,2014,1.270
Kepler-186 f,2014,1.170
Kepler-1860 b,2021,1.139
Kepler-1861 b,2021,2.207
Kepler-1862 b,2021,2.203
Kepler-1863 b,2021,2.263
Kepler-1864 b,2021,0.754
Kepler-1865 b,2021,1.577
Kepler-1866 b,2021,2.082
Kepler-1867 b,2021,1.160
Kepler-1868 b,2021,3.150
Kepler-1869 b,2021,1.120
Kepler-1869 c,2023,0.740
Kepler-187 b,2014,1.410
Kepler-187 c,2014,2.670
Kepler-1870 b,2021,2.101
Kepler-1871 b,2021,2.422
Kepler-1872 b,2021,2.384
Kepler-1873 b,2021,1.626
Kepler-1874 b,2021,2.211
Kepler-1875 b,2021,3.227
Kepler-1876 b,2021,0.853
Kepler-1877 b,2021,0.624
Kepler-1878 b,2021,2.920
Kepler-1879 b,2021,2.065
Kepler-188 b,2014,1.680
Kepler-188 c,2014,3.190
Kepler-1880 b,2021,2.117
Kepler-1881 b,2021,2.981
Kepler-1882 b,2021,1.487
Kepler-1883 b,2021,3.251
Kepler-1884 b,2021,1.814
Kepler-1885 b,2021,1.511
